Terim,İngilizce,Tanım,Örnek,İlgili
Histogram,Histogram,"Sürekli veriyi belirli aralıklara (bin) bölerek her aralıktaki frekansı sütunlarla gösteren grafik. Dağılımın şeklini, çarpıklığı ve modları görselleştirir.","Bir sınıfın boy uzunluklarını 5 cm'lik aralıklarla gruplayarak çizilen histogram, dağılımın çan eğrisine yakın olup olmadığını gösterir.",Frekans; Normal dağılım; Dağılım
Kategorik değişken,Categorical variable,"Sınıflara veya kategorilere ayrılan, sayısal bir sıralama taşımayan değişken. Nominal (cinsiyet) ve ordinal (eğitim düzeyi) olmak üzere iki alt türü vardır.","Kan grubu (A, B, AB, 0) nominal; memnuniyet düzeyi (düşük, orta, yüksek) ordinal kategorik değişkendir.",Sayısal değişken; Frekans
Korelasyon,Correlation,"İki değişken arasındaki doğrusal ilişkinin yönünü ve şiddetini ölçen istatistik. Pearson korelasyon katsayısı −1 ile +1 arasında değer alır. Korelasyon nedensellik anlamına gelmez.","Ders çalışma süresi ile sınav notu arasında pozitif korelasyon (örn. r = 0.72) bulunabilir; ancak bu tek başına çalışmanın notu belirlediğini kanıtlamaz.",Kovaryans; Regresyon; Bağımlı değişken
Kovaryans,Covariance,"İki değişkenin birlikte değişme eğilimini ölçen istatistik. Pozitif kovaryans birlikte artışı, negatif ise ters ilişkiyi gösterir. Birime duyarlı olduğu için korelasyon daha çok tercih edilir.","Boy ile kilo arasında pozitif kovaryans; saatlik uyku süresi ile stres seviyesi arasında negatif kovaryans beklenir.",Korelasyon; Varyans
Medyan,Median,"Veri küçükten büyüğe sıralandığında tam ortadaki değer. Aykırı değerlerden etkilenmediği için çarpık dağılımlarda ortalamaya tercih edilir.","10.000, 11.000, 12.000, 9.000, 150.000 TL'lik kira değerleri sıralandığında medyan 11.000 TL'dir — tipik düzeyi ortalamadan çok daha iyi yansıtır.",Ortalama; Aykırı değer; Çeyrekler arası aralık
Mod,Mode,"Bir veri setinde en sık tekrarlanan değer. Kategorik verilerde kullanılabilen tek merkezî eğilim ölçüsüdür.","{3, 5, 7, 7, 9, 9, 9, 12} setinde mod 9'dur. Bir tek mod varsa 'tek modlu', birden fazla varsa 'çok modlu' dağılım denir.",Medyan; Ortalama
Normal dağılım,Normal distribution,"Simetrik, çan eğrisi şeklindeki sürekli olasılık dağılımı. Doğada çok yaygındır; pek çok istatistiksel testin varsayımıdır. Ortalama ve standart sapma ile tanımlanır.",Büyük bir toplulukta yetişkin boy uzunlukları normal dağılıma yakın bir şekil gösterir: değerlerin %68'i ortalamaya ± 1 standart sapma içinde kalır.,Standart sapma; Z-skoru; Dağılım
Olasılık,Probability,Bir olayın gerçekleşme şansının 0 ile 1 arasında sayısal ifadesi. 0 imkânsızlığı; 1 kesinliği gösterir.,"Adil bir zarla 6 gelme olasılığı 1/6 ≈ 0.167'dir; herhangi bir çift sayı gelme olasılığı ise 3/6 = 0.5'tir.",Beklenen değer; Bayes teoremi
Ortalama,Mean,"Tüm değerlerin toplamının gözlem sayısına bölünmesi. Merkezî eğilimin en bilinen ölçüsü; ancak aykırı değerlere duyarlıdır.","{4, 6, 8, 10, 12} setinin ortalaması (4+6+8+10+12)/5 = 8'dir.",Medyan; Mod; Aykırı değer
Örneklem,Sample,"Popülasyondan belirli bir yöntemle seçilen alt küme. İyi bir örneklem, popülasyonu temsil edecek biçimde rastgele seçilmiş olmalıdır.","Türkiye'deki tüm üniversite öğrencileri popülasyonken, 2.000 öğrenciyle yapılan bir anketin katılımcıları bu popülasyonun örneklemidir.",Popülasyon; Güven aralığı; Standart hata
P-değeri,P-value,"Sıfır hipotezi doğru varsayıldığında, gözlenen sonuç kadar veya daha uç bir sonucun rastlantısal olarak elde edilme olasılığı. Yaygın olarak 0.05 eşik alınır; daha küçük p-değerleri sıfır hipoteze karşı daha güçlü kanıt sayılır.","İki grup arasındaki fark için p = 0.03 bulunduysa, sıfır hipotezi doğru olsaydı bu sonucun rastlantısal gözlenme olasılığı %3'tür. Çoğu araştırmada sıfır hipotezi reddedilir.",Hipotez testi; Etki büyüklüğü
Popülasyon,Population,Araştırma ilgi kitlesinin tamamı; üzerinde sonuç çıkarılmak istenen tüm birimler kümesi.,Tüketici davranışı araştırmasında Türkiye'deki tüm tüketiciler popülasyondur. Uygulamada genellikle örneklem üzerinden bilgi edinilir.,Örneklem; Güven aralığı
Regresyon,Regression,"Bir bağımlı değişkenin bir veya daha fazla bağımsız değişkenle ilişkisini modelleyen istatistiksel yöntem. Doğrusal regresyon en basit biçimidir.",Ev fiyatının metrekareye göre modellenmesi: Fiyat = β₀ + β₁ × Metrekare + ε.,Çoklu regresyon; Korelasyon; Bağımlı değişken
Sayısal değişken,Numerical variable,"Sayılarla ifade edilen, üzerinde aritmetik işlem yapılabilen değişken. Kesikli (sayılabilir) ve sürekli (ölçülebilir) olmak üzere iki alt türü vardır.","Aile içi çocuk sayısı (kesikli), boy uzunluğu (sürekli) sayısal değişkenlerdir.",Kategorik değişken
Standart hata,Standard error,"Bir örneklem istatistiğinin (genellikle ortalamanın) örneklemden örnekleme ne kadar değiştiğinin ölçüsü. Örneklem büyüdükçe azalır.","100 kişilik örneklemin ortalamasının standart hatası, 25 kişilik örneklemdekinin yaklaşık yarısıdır.",Güven aralığı; Örneklem; Standart sapma
Standart sapma,Standard deviation,"Verinin ortalama etrafında ne kadar yayıldığını gösteren ölçü. Varyansın kareköküdür, orijinal veriyle aynı birimdedir.","İki sınıfın ortalama puanı 70 olsun. Birincide standart sapma 5, ikincide 15 ise birinci sınıftaki puanlar ortalamaya çok daha yakındır.",Varyans; Normal dağılım; Z-skoru
T-testi,T-test,"İki grup ortalamasının istatistiksel olarak farklı olup olmadığını test eden parametrik yöntem. Bağımsız örneklem ve eşleştirilmiş örneklem varyantları vardır.",Aynı dersi farklı iki öğretim görevlisinden alan öğrencilerin final notlarının ortalaması arasında fark olup olmadığını sınamak için bağımsız örneklem t-testi kullanılır.,ANOVA; Hipotez testi; P-değeri
Varyans,Variance,Verinin ortalamadan sapmalarının karelerinin ortalaması. Birimin karesi cinsindendir; standart sapma daha yorumlanabilir bir türevidir.,"{4, 6, 8, 10, 12} setinin varyansı 8, standart sapması √8 ≈ 2.83'tür.",Standart sapma; Kovaryans
Z-skoru,Z-score,Bir değerin ortalamadan kaç standart sapma uzaklıkta olduğunu gösteren standartlaştırılmış ölçü. z = (x − μ) / σ.,"Ortalaması 75, standart sapması 10 olan bir sınavda 90 puan alan öğrencinin z-skoru (90−75)/10 = 1.5'tir; ortalamanın 1.5 standart sapma üstündedir.",Standart sapma; Normal dağılım
